M_number,name,ra,dec,type,distance_ly,apparent_magnitude,x,y,z,display_name,description
M 85,M  85,186.35022083333328,18.191080555555555,GiP,51.69572599999999,,-48.810675700895615,-5.4320579089403465,16.13873511657566,M  85,Deep sky object
M 86,M  86,186.549225,12.945969444444444,GiG,54.794208,8.899999618530273,-53.05295043412892,-6.090796220610558,12.275662180922087,M  86,Deep sky object
M 86,M  86,186.549225,12.945969444444444,GiG,55.64221359999999,8.899999618530273,-53.87400800037137,-6.185058543072387,12.465642667055404,M  86,Deep sky object
M 86,M  86,186.549225,12.945969444444444,GiG,55.64221359999999,8.899999618530273,-53.87400800037137,-6.185058543072387,12.465642667055404,M  86,Deep sky object
M 86,M  86,186.549225,12.945969444444444,GiG,54.794208,8.899999618530273,-53.05295043412892,-6.090796220610558,12.275662180922087,M  86,Deep sky object
M 86,M  86,186.549225,12.945969444444444,GiG,54.89205479999999,8.899999618530273,-53.147687845618414,-6.101672642433075,12.29758300624516,M  86,Deep sky object
M 86,M  86,186.549225,12.945969444444444,GiG,55.44652,8.899999618530273,-53.68453317739235,-6.163305699427351,12.421801016409255,M  86,Deep sky object
M 86,M  86,186.549225,12.945969444444444,GiG,62.3610272,8.899999618530273,-60.37931025598481,-6.93190617488535,13.970872672573233,M  86,Deep sky object
M 86,M  86,186.549225,12.945969444444444,GiG,61.12163439999999,8.899999618530273,-59.179303043784266,-6.794138165133443,13.693208885147612,M  86,Deep sky object
M 86,M  86,186.549225,12.945969444444444,GiG,54.46805199999999,8.899999618530273,-52.737159062497184,-6.054541481202161,12.202592763178501,M  86,Deep sky object
M 84,M  84,186.2655972083333,12.886983138888889,Sy2,49.16801699999999,10.489999771118164,-47.64326816363841,-5.230911997630204,10.965876803656666,M  84,Deep sky object
M 84,M  84,186.2655972083333,12.886983138888889,Sy2,54.89205479999999,10.489999771118164,-53.18979789015154,-5.839883842130437,12.24250126736595,M  84,Deep sky object
M 84,M  84,186.2655972083333,12.886983138888889,Sy2,62.295796,10.489999771118164,-60.36394175293492,-6.627556826184871,13.89374772469933,M  84,Deep sky object
M 84,M  84,186.2655972083333,12.886983138888889,Sy2,55.120364,10.489999771118164,-53.411026996052364,-5.864173317409651,12.293420761644956,M  84,Deep sky object
M 84,M  84,186.2655972083333,12.886983138888889,Sy2,60.33886,10.489999771118164,-58.467692273785126,-6.4193613237916285,13.45729491659359,M  84,Deep sky object
M 84,M  84,186.2655972083333,12.886983138888889,Sy2,60.17578199999999,10.489999771118164,-58.30967148385597,-6.402011698592191,13.420923849251443,M  84,Deep sky object
M 84,M  84,186.2655972083333,12.886983138888889,Sy2,55.44652,10.489999771118164,-53.72706857591066,-5.898872567808524,12.366162896329245,M  84,Deep sky object
M 84,M  84,186.2655972083333,12.886983138888889,Sy2,62.85026119999999,10.489999771118164,-60.90121243869401,-6.686545551862955,14.017409353662618,M  84,Deep sky object
M 84,M  84,186.2655972083333,12.886983138888889,Sy2,62.3936428,10.489999771118164,-60.45875422689241,-6.637966601304533,13.915570365104616,M  84,Deep sky object
M 84,M  84,186.2655972083333,12.886983138888889,Sy2,54.794208,10.489999771118164,-53.094985416194056,-5.829474067010776,12.220678626960664,M  84,Deep sky object
M 87,M  87,187.70593076725,12.391123246083334,AGN,64.3505788,8.630000114440918,-62.28397445950201,-8.427688791836232,13.808605253647704,M  87,Deep sky object
M 87,M  87,187.70593076725,12.391123246083334,AGN,64.3831944,8.630000114440918,-62.31554261685604,-8.431960301614152,13.815604039888782,M  87,Deep sky object
M 87,M  87,187.70593076725,12.391123246083334,AGN,55.44652,8.630000114440918,-53.665867501851714,-7.261566622464063,11.897936609833298,M  87,Deep sky object
M 87,M  87,187.70593076725,12.391123246083334,AGN,56.1640632,8.630000114440918,-54.36036696364038,-7.355539837578303,12.051909907137023,M  87,Deep sky object
M 87,M  87,187.70593076725,12.391123246083334,AGN,55.44652,8.630000114440918,-53.665867501851714,-7.261566622464063,11.897936609833298,M  87,Deep sky object
M 87,M  87,187.70593076725,12.391123246083334,AGN,56.098832,8.630000114440918,-54.29723064893232,-7.346996818022463,12.037912334654868,M  87,Deep sky object
M 87,M  87,187.70593076725,12.391123246083334,AGN,53.8809712,8.630000114440918,-52.150595948858246,-7.0565341531239,11.561994870261534,M  87,Deep sky object
M 87,M  87,187.70593076725,12.391123246083334,AGN,53.8809712,8.630000114440918,-52.150595948858246,-7.0565341531239,11.561994870261534,M  87,Deep sky object
