gaia_id,ra,dec,main_id,simbad_names,star_names,common_name,has_common_name,object_type
2077383395124052096,293.52757847336557,41.11139264521758,KOI-2744.02,KOI-2744.02,KOI-2744.02,KOI-2744.02,True,Pl?
2077386315701921920,293.6260595675386,41.272799558742676,Kepler-201,LAMOST J193430.24+411622.1|UCAC4 657-074386|AP J19343024+4116221|Gaia DR3 2077386315701921920|TIC 138297190|SPOCS 3534|Gaia DR2 2077386315701921920|2MASS J19343024+4116221|KOI-655|Kepler-201|KIC 5966154,LAMOST J193430.24+411622.1,LAMOST J193430.24+411622.1,True,Er*
2077403633010654976,294.16316587424353,41.451729258901906,Kepler-1734b,Kepler-1734b|KOI-1051.01,Kepler-1734b,Kepler-1734b,True,Pl
2077409645964537472,293.6755197170272,41.29520167110578,Kepler-517b,KOI-303.01|Kepler-517b,KOI-303.01,KOI-303.01,True,Pl
2077413734773457536,293.67044009072237,41.4102091292105,Kepler-1379b,KOI-2886.01|Kepler-1379b,KOI-2886.01,KOI-2886.01,True,Pl
2077420842932795776,293.9297342795947,41.602906223400915,Kepler-1715b,Kepler-1715b|KOI-308.01,Kepler-1715b,Kepler-1715b,True,Pl
2077424210192781440,293.87810462090187,41.661723481406995,Kepler-702b,KOI-850.01|Kepler-702b,KOI-850.01,KOI-850.01,True,Pl
2077479121354236160,294.7669795395654,41.64464283336719,Kepler-1368,Gaia DR3 2077479121354236160|TIC 378159769|Gaia DR2 2077479121354236160|KOI-2852|2MASS J19390407+4138408|Kepler-1368|KIC 6294819,TIC 378159769,TIC 378159769,True,Ro*
2077540827141811200,294.6741519737311,42.07560443416187,Kepler-314c,KOI-1692.01|Kepler-314c,KOI-1692.01,KOI-1692.01,True,Pl
2077553200951551360,294.3667311151914,42.25264053186873,Kepler-947b,KOI-1749.01|Kepler-947b,KOI-1749.01,KOI-1749.01,True,Pl
2077580345142027136,293.2624196234495,41.36501350189292,Kepler-1095b,KOI-2100.01|Kepler-1095b,KOI-2100.01,KOI-2100.01,True,Pl
2077586873492185344,293.0925272355928,41.35550886567322,Kepler-74,LAMOST J193222.22+412119.9|AP J19322220+4121198|Gaia DR3 2077586873492185344|TIC 137903329|Gaia DR2 2077586873492185344|UCAC2  46161558|UCAC3 263-163248|USNO-B1.0 1313-00340274|GSC2.3 N2K6074728|GSC2 N030331274728|CMC14 J193222.2+412119|2MASS J19322220+4121198|KIC 6046540|KOI-200|USNO-A2.0 1275-11623662|Kepler-74,LAMOST J193222.22+412119.9,LAMOST J193222.22+412119.9,True,Ro*
2077601407662547072,293.1650068927554,41.74618228992404,Kepler-1478,Gaia DR3 2077601407662547072|TIC 138097834|Gaia DR2 2077601407662547072|KOI-3356|2MASS J19323961+4144464|Kepler-1478|KIC 6368230,TIC 138097834,TIC 138097834,True,Ro*
2077617930392844800,293.7582989579821,41.87180529453503,Kepler-56d,KOI-1241.10|Kepler-56d,KOI-1241.10,KOI-1241.10,True,Pl
2077726678964445696,293.56636962296346,42.13258072163217,KOI-2851.02,KOI-2851.02,KOI-2851.02,KOI-2851.02,True,Pl?
